,Model,Score
1,<catboost.core.CatBoostClassifier object at 0x7f93ef746b10>,0.5833333333333334
2,<catboost.core.CatBoostClassifier object at 0x7f93c07b8050>,0.7
3,<catboost.core.CatBoostClassifier object at 0x7f93e8615690>,0.7
4,<catboost.core.CatBoostClassifier object at 0x7f93ef746b10>,0.6666666666666666
5,<catboost.core.CatBoostClassifier object at 0x7f93d78405d0>,0.7166666666666667
6,<catboost.core.CatBoostClassifier object at 0x7f93d7840690>,0.6833333333333333
7,<catboost.core.CatBoostClassifier object at 0x7f93cc4feed0>,0.6833333333333333
8,<catboost.core.CatBoostClassifier object at 0x7f93d60eea50>,0.65
9,<catboost.core.CatBoostClassifier object at 0x7f93d5eafdd0>,0.6666666666666666
10,<catboost.core.CatBoostClassifier object at 0x7f93ccbc69d0>,0.7166666666666667
11,<catboost.core.CatBoostClassifier object at 0x7f93cd08af10>,0.6666666666666666
12,<catboost.core.CatBoostClassifier object at 0x7f93dc85cc50>,0.65
13,<catboost.core.CatBoostClassifier object at 0x7f93d78405d0>,0.6
14,<catboost.core.CatBoostClassifier object at 0x7f93d81b1610>,0.8
15,<catboost.core.CatBoostClassifier object at 0x7f93ed13f6d0>,0.6166666666666667
16,<catboost.core.CatBoostClassifier object at 0x7f93cce45a50>,0.5833333333333334
17,<catboost.core.CatBoostClassifier object at 0x7f93d5eafdd0>,0.7
18,<catboost.core.CatBoostClassifier object at 0x7f93c1ec7cd0>,0.75
19,<catboost.core.CatBoostClassifier object at 0x7f93cce45a50>,0.7166666666666667
20,<catboost.core.CatBoostClassifier object at 0x7f93e8626a10>,0.6666666666666666
21,<catboost.core.CatBoostClassifier object at 0x7f93c1f1aa90>,0.7833333333333333
22,<catboost.core.CatBoostClassifier object at 0x7f93ccbc69d0>,0.6833333333333333
23,<catboost.core.CatBoostClassifier object at 0x7f93cce45a50>,0.6333333333333333
24,<catboost.core.CatBoostClassifier object at 0x7f93cc4da4d0>,0.7
25,<catboost.core.CatBoostClassifier object at 0x7f93c1eced90>,0.8
26,<catboost.core.CatBoostClassifier object at 0x7f93c07b8190>,0.7166666666666667
27,<catboost.core.CatBoostClassifier object at 0x7f93e861d2d0>,0.6166666666666667
28,<catboost.core.CatBoostClassifier object at 0x7f93c1f15490>,0.6666666666666666
29,<catboost.core.CatBoostClassifier object at 0x7f93ef746b10>,0.7666666666666667
30,<catboost.core.CatBoostClassifier object at 0x7f93c07b8050>,0.6833333333333333
31,<catboost.core.CatBoostClassifier object at 0x7f93cc4da4d0>,0.6833333333333333
32,<catboost.core.CatBoostClassifier object at 0x7f93c076e390>,0.5833333333333334
33,<catboost.core.CatBoostClassifier object at 0x7f93cd10b1d0>,0.7
34,<catboost.core.CatBoostClassifier object at 0x7f93ef746b10>,0.7333333333333333
35,<catboost.core.CatBoostClassifier object at 0x7f93c0767a50>,0.7333333333333333
36,<catboost.core.CatBoostClassifier object at 0x7f93d6cea2d0>,0.6333333333333333
37,<catboost.core.CatBoostClassifier object at 0x7f93ccbc69d0>,0.7666666666666667
38,<catboost.core.CatBoostClassifier object at 0x7f93c07cd5d0>,0.7
39,<catboost.core.CatBoostClassifier object at 0x7f93c077a990>,0.6666666666666666
40,<catboost.core.CatBoostClassifier object at 0x7f93d6cea2d0>,0.6333333333333333
41,<catboost.core.CatBoostClassifier object at 0x7f93ef746b10>,0.6666666666666666
42,<catboost.core.CatBoostClassifier object at 0x7f93ed13f6d0>,0.6833333333333333
43,<catboost.core.CatBoostClassifier object at 0x7f93d7840690>,0.7333333333333333
44,<catboost.core.CatBoostClassifier object at 0x7f93d78405d0>,0.75
45,<catboost.core.CatBoostClassifier object at 0x7f93c0767790>,0.6833333333333333
46,<catboost.core.CatBoostClassifier object at 0x7f93d60eea50>,0.7
47,<catboost.core.CatBoostClassifier object at 0x7f93ccbc69d0>,0.6833333333333333
48,<catboost.core.CatBoostClassifier object at 0x7f93c07b8190>,0.6833333333333333
49,<catboost.core.CatBoostClassifier object at 0x7f93c07b8050>,0.6666666666666666
50,<catboost.core.CatBoostClassifier object at 0x7f93d6cdaf10>,0.6833333333333333
51,<catboost.core.CatBoostClassifier object at 0x7f93d81b1610>,0.6166666666666667
52,<catboost.core.CatBoostClassifier object at 0x7f93ccbc69d0>,0.7333333333333333
53,<catboost.core.CatBoostClassifier object at 0x7f93cc505fd0>,0.6
54,<catboost.core.CatBoostClassifier object at 0x7f940e720510>,0.7333333333333333
55,<catboost.core.CatBoostClassifier object at 0x7f93e861d150>,0.65
56,<catboost.core.CatBoostClassifier object at 0x7f93cd0fffd0>,0.7
57,<catboost.core.CatBoostClassifier object at 0x7f93ccbc69d0>,0.7666666666666667
58,<catboost.core.CatBoostClassifier object at 0x7f93cd10b1d0>,0.7166666666666667
59,<catboost.core.CatBoostClassifier object at 0x7f93cc4feed0>,0.6833333333333333
60,<catboost.core.CatBoostClassifier object at 0x7f93d6cdaf10>,0.6666666666666666
61,<catboost.core.CatBoostClassifier object at 0x7f93ed13f6d0>,0.7666666666666667
62,<catboost.core.CatBoostClassifier object at 0x7f93cc4da4d0>,0.6666666666666666
63,<catboost.core.CatBoostClassifier object at 0x7f93c1efabd0>,0.8666666666666667
64,<catboost.core.CatBoostClassifier object at 0x7f93e861d2d0>,0.6833333333333333
65,<catboost.core.CatBoostClassifier object at 0x7f93ef746b10>,0.7333333333333333
66,<catboost.core.CatBoostClassifier object at 0x7f93cd10b1d0>,0.7
67,<catboost.core.CatBoostClassifier object at 0x7f93cc4feed0>,0.6833333333333333
68,<catboost.core.CatBoostClassifier object at 0x7f93ccbc69d0>,0.7
69,<catboost.core.CatBoostClassifier object at 0x7f93cce45a50>,0.7
70,<catboost.core.CatBoostClassifier object at 0x7f93c1f15490>,0.6166666666666667
71,<catboost.core.CatBoostClassifier object at 0x7f93d7840610>,0.6833333333333333
72,<catboost.core.CatBoostClassifier object at 0x7f93c1f3ed90>,0.6833333333333333
73,<catboost.core.CatBoostClassifier object at 0x7f93c1f1aa90>,0.6166666666666667
74,<catboost.core.CatBoostClassifier object at 0x7f93cc4feed0>,0.75
75,<catboost.core.CatBoostClassifier object at 0x7f93cc505fd0>,0.6333333333333333
76,<catboost.core.CatBoostClassifier object at 0x7f93cd10b1d0>,0.7166666666666667
