,Model,Score
1,CatBoost,0.625
2,CatBoost,0.828125
3,CatBoost,0.6875
4,CatBoost,0.71875
5,CatBoost,0.59375
6,CatBoost,0.65625
7,CatBoost,0.703125
8,CatBoost,0.6875
9,CatBoost,0.578125
10,CatBoost,0.71875
11,CatBoost,0.625
12,CatBoost,0.640625
13,CatBoost,0.65625
14,CatBoost,0.59375
15,CatBoost,0.609375
16,CatBoost,0.6875
17,CatBoost,0.59375
18,CatBoost,0.65625
19,CatBoost,0.71875
20,CatBoost,0.71875
21,CatBoost,0.71875
22,CatBoost,0.625
23,CatBoost,0.6875
24,CatBoost,0.671875
25,CatBoost,0.59375
26,CatBoost,0.75
27,CatBoost,0.640625
28,CatBoost,0.640625
29,CatBoost,0.703125
30,CatBoost,0.671875
31,CatBoost,0.71875
32,CatBoost,0.75
33,CatBoost,0.578125
34,CatBoost,0.5625
35,CatBoost,0.703125
36,CatBoost,0.65625
37,CatBoost,0.578125
38,CatBoost,0.765625
39,CatBoost,0.671875
40,CatBoost,0.65625
41,CatBoost,0.71875
42,CatBoost,0.6875
43,CatBoost,0.640625
44,CatBoost,0.640625
45,CatBoost,0.609375
46,CatBoost,0.765625
47,CatBoost,0.609375
48,CatBoost,0.671875
49,CatBoost,0.703125
50,CatBoost,0.671875
51,CatBoost,0.609375
52,CatBoost,0.625
53,CatBoost,0.671875
54,CatBoost,0.578125
55,CatBoost,0.609375
56,CatBoost,0.6875
57,CatBoost,0.5625
58,CatBoost,0.640625
59,CatBoost,0.6875
60,CatBoost,0.71875
61,CatBoost,0.640625
62,CatBoost,0.6875
63,CatBoost,0.578125
64,CatBoost,0.6875
65,CatBoost,0.640625
66,CatBoost,0.578125
67,CatBoost,0.625
68,CatBoost,0.703125
69,CatBoost,0.515625
70,CatBoost,0.640625
71,CatBoost,0.59375
72,CatBoost,0.75
73,CatBoost,0.65625
74,CatBoost,0.578125
75,CatBoost,0.625
76,CatBoost,0.640625
77,CatBoost,0.6875
78,CatBoost,0.625
79,CatBoost,0.546875
80,CatBoost,0.65625
81,CatBoost,0.6875
82,CatBoost,0.65625
83,CatBoost,0.640625
84,CatBoost,0.578125
85,CatBoost,0.609375
86,CatBoost,0.640625
87,CatBoost,0.578125
88,CatBoost,0.65625
89,CatBoost,0.75
90,CatBoost,0.703125
91,CatBoost,0.671875
92,CatBoost,0.640625
93,CatBoost,0.671875
94,CatBoost,0.65625
95,CatBoost,0.6875
96,CatBoost,0.703125
97,CatBoost,0.625
98,CatBoost,0.59375
99,CatBoost,0.5625
100,CatBoost,0.6875
