,Model,Score
1,<catboost.core.CatBoostClassifier object at 0x7f28e4442350>,0.65625
2,<catboost.core.CatBoostClassifier object at 0x7f28e4442290>,0.859375
3,<catboost.core.CatBoostClassifier object at 0x7f28e442b150>,0.6875
4,<catboost.core.CatBoostClassifier object at 0x7f28d9d493d0>,0.703125
5,<catboost.core.CatBoostClassifier object at 0x7f28d9d55310>,0.65625
6,<catboost.core.CatBoostClassifier object at 0x7f2905c5b1d0>,0.6875
7,<catboost.core.CatBoostClassifier object at 0x7f28ff9d5ed0>,0.734375
8,<catboost.core.CatBoostClassifier object at 0x7f2925318650>,0.703125
9,<catboost.core.CatBoostClassifier object at 0x7f290646a4d0>,0.65625
10,<catboost.core.CatBoostClassifier object at 0x7f28ff54da50>,0.71875
11,<catboost.core.CatBoostClassifier object at 0x7f28ff9c1210>,0.625
12,<catboost.core.CatBoostClassifier object at 0x7f28ef31d150>,0.625
13,<catboost.core.CatBoostClassifier object at 0x7f28e44bb0d0>,0.640625
14,<catboost.core.CatBoostClassifier object at 0x7f28ed290e10>,0.609375
15,<catboost.core.CatBoostClassifier object at 0x7f290646a4d0>,0.65625
16,<catboost.core.CatBoostClassifier object at 0x7f2905c5b210>,0.671875
17,<catboost.core.CatBoostClassifier object at 0x7f28d9dc3210>,0.609375
18,<catboost.core.CatBoostClassifier object at 0x7f28ed290e10>,0.671875
19,<catboost.core.CatBoostClassifier object at 0x7f28f4d9e410>,0.71875
20,<catboost.core.CatBoostClassifier object at 0x7f28ee090810>,0.765625
21,<catboost.core.CatBoostClassifier object at 0x7f29252f1050>,0.734375
22,<catboost.core.CatBoostClassifier object at 0x7f28ee089910>,0.640625
23,<catboost.core.CatBoostClassifier object at 0x7f28e44bb0d0>,0.671875
24,<catboost.core.CatBoostClassifier object at 0x7f28d9dc3210>,0.734375
25,<catboost.core.CatBoostClassifier object at 0x7f29252f1050>,0.671875
26,<catboost.core.CatBoostClassifier object at 0x7f28ee089910>,0.75
27,<catboost.core.CatBoostClassifier object at 0x7f28ff9d5750>,0.671875
28,<catboost.core.CatBoostClassifier object at 0x7f28ff9d5ed0>,0.6875
29,<catboost.core.CatBoostClassifier object at 0x7f29252e8ad0>,0.6875
30,<catboost.core.CatBoostClassifier object at 0x7f28d9dc3650>,0.703125
31,<catboost.core.CatBoostClassifier object at 0x7f28e44bb0d0>,0.71875
32,<catboost.core.CatBoostClassifier object at 0x7f29252dcfd0>,0.71875
33,<catboost.core.CatBoostClassifier object at 0x7f28ee0907d0>,0.65625
34,<catboost.core.CatBoostClassifier object at 0x7f28ee090810>,0.59375
35,<catboost.core.CatBoostClassifier object at 0x7f29252f1050>,0.671875
36,<catboost.core.CatBoostClassifier object at 0x7f28ed24f050>,0.703125
37,<catboost.core.CatBoostClassifier object at 0x7f290646a4d0>,0.65625
