,Model,Score
1,"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='chebyshev',
                     metric_params=None, n_jobs=None, n_neighbors=6, p=2,
                     weights='uniform')",0.5
2,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, eval_metric='logloss',
              gamma=0, learning_rate=0.21, max_delta_step=0, max_depth=5,
              min_child_weight=1, missing=None, n_estimators=27, n_jobs=1,
              nthread=None, objective='multi:softprob', random_state=0,
              reg_alpha=0.00922102829884569, reg_lambda=0.9600005459528096,
              scale_pos_weight=1, seed=None, silent=None, subsample=1,
              verbosity=0)",0.78125
3,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, eval_metric='logloss',
              gamma=0, learning_rate=0.21, max_delta_step=0, max_depth=5,
              min_child_weight=1, missing=None, n_estimators=27, n_jobs=1,
              nthread=None, objective='multi:softprob', random_state=0,
              reg_alpha=0.00922102829884569, reg_lambda=0.9600005459528096,
              scale_pos_weight=1, seed=None, silent=None, subsample=1,
              verbosity=0)",0.5625
4,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, eval_metric='logloss',
              gamma=0, learning_rate=0.21, max_delta_step=0, max_depth=5,
              min_child_weight=1, missing=None, n_estimators=27, n_jobs=1,
              nthread=None, objective='multi:softprob', random_state=0,
              reg_alpha=0.00922102829884569, reg_lambda=0.9600005459528096,
              scale_pos_weight=1, seed=None, silent=None, subsample=1,
              verbosity=0)",0.640625
5,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, eval_metric='logloss',
              gamma=0, learning_rate=0.21, max_delta_step=0, max_depth=5,
              min_child_weight=1, missing=None, n_estimators=27, n_jobs=1,
              nthread=None, objective='multi:softprob', random_state=0,
              reg_alpha=0.00922102829884569, reg_lambda=0.9600005459528096,
              scale_pos_weight=1, seed=None, silent=None, subsample=1,
              verbosity=0)",0.578125
6,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, eval_metric='logloss',
              gamma=0, learning_rate=0.21, max_delta_step=0, max_depth=5,
              min_child_weight=1, missing=None, n_estimators=27, n_jobs=1,
              nthread=None, objective='multi:softprob', random_state=0,
              reg_alpha=0.00922102829884569, reg_lambda=0.9600005459528096,
              scale_pos_weight=1, seed=None, silent=None, subsample=1,
              verbosity=0)",0.671875
7,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, eval_metric='logloss',
              gamma=0, learning_rate=0.21, max_delta_step=0, max_depth=5,
              min_child_weight=1, missing=None, n_estimators=27, n_jobs=1,
              nthread=None, objective='multi:softprob', random_state=0,
              reg_alpha=0.00922102829884569, reg_lambda=0.9600005459528096,
              scale_pos_weight=1, seed=None, silent=None, subsample=1,
              verbosity=0)",0.640625
8,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, eval_metric='logloss',
              gamma=0, learning_rate=0.21, max_delta_step=0, max_depth=5,
              min_child_weight=1, missing=None, n_estimators=27, n_jobs=1,
              nthread=None, objective='multi:softprob', random_state=0,
              reg_alpha=0.00922102829884569, reg_lambda=0.9600005459528096,
              scale_pos_weight=1, seed=None, silent=None, subsample=1,
              verbosity=0)",0.65625
9,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, eval_metric='logloss',
              gamma=0, learning_rate=0.21, max_delta_step=0, max_depth=5,
              min_child_weight=1, missing=None, n_estimators=27, n_jobs=1,
              nthread=None, objective='multi:softprob', random_state=0,
              reg_alpha=0.00922102829884569, reg_lambda=0.9600005459528096,
              scale_pos_weight=1, seed=None, silent=None, subsample=1,
              verbosity=0)",0.609375
10,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, eval_metric='logloss',
              gamma=0, learning_rate=0.21, max_delta_step=0, max_depth=5,
              min_child_weight=1, missing=None, n_estimators=27, n_jobs=1,
              nthread=None, objective='multi:softprob', random_state=0,
              reg_alpha=0.00922102829884569, reg_lambda=0.9600005459528096,
              scale_pos_weight=1, seed=None, silent=None, subsample=1,
              verbosity=0)",0.671875
