"","Reservoir","GTT.V..CTC.L.","brCpA","TAC.Bias","TGG.W..GTG.V.","CCG.P..TCT.S.","AGT.S..CGG.R.","TTG.Bias","AGG.Bias","TCA.Bias","UpU","NonBrApA","CGC.R..GTA.V.","brCpC","R.Bias","NonBrCpU","CAA.Bias","GGG.Bias","ACA.T..ATT.I.","brApA","GAA.Bias","TGG.W..TGA.X.","AGA.Bias","CpA","CTC.Bias","brUpU","ApC","NonBrUpG","ACA.Bias","TCT.Bias","TAA.X..AAA.K.","brUpG","UpA","NonBrCpC","GCG.Bias","NonBrApG","NonBrGpU","GpU","GTT.Bias","CpU","brUpC","brUpA","brApC","GpG","I.Bias","TTA.Bias","UpG","GGC.Bias","D.Bias","H.Bias","CGT.Bias","CpC","Y.Bias","X.Bias","ApG","GpA","GTG.Bias","ACT.Bias","T.Bias","brApG","brCpU","F.Bias","V.Bias","CCA.Bias","ATT.Bias","CTT.Bias","S.Bias","brGpC","GpC","N.Bias","W.Bias","brGpA","NonBrGpC","ApA","NonBrCpA","CTA.Bias","CTG.Bias","NonBrGpG","G.Bias","GCA.Bias","AGC.Bias","NonBrCpG","ATA.Bias","CpG","C.Bias","NonBrUpC","K.Bias","GGA.Bias","brApU","P.Bias","E.Bias","Q.Bias","M.Bias","NonBrUpU","CGA.Bias","NonBrUpA","AGT.Bias","UpC","ApU","brGpU","L.Bias","Artiodactyl","Carnivore","Fish","Galloanserae","Insect","Neoaves","Plant","Primate","Pterobat","Rodent","Vespbat"
"1","Primate",-9999,1.877452582,0.688888889,0.651700563,1.425392649,-9999,0.236686391,0.362637363,0.271523179,1.056892673,1.030542636,-9999,0.979113871,0.041495668,0.9632,0.670454545,0.205298013,-9999,0.869731455,0.438596491,0.651700563,0.395604396,1.380609851,0.124260355,0.850783054,1.115369535,1.202881041,0.360544218,0.132450331,0.651700563,1.722956437,0.691216175,1.078956,0.110344828,0.916356877,1.086988848,1.057843567,0.244047619,0.98915035,0.77483552,0.860239993,0.804622535,1.05583274,0.05380757,0.112426036,1.388253144,0.21192053,0.050159599,0.025991792,0.065934066,1.044026691,0.041039672,0.000456,1.02394746,0.988130368,0.410714286,0.238095238,0.067031464,1.118601748,1.171938724,0.04377565,0.076607387,0.369747899,0.330508475,0.118343195,0.068855449,0.649058286,0.894184242,0.048335613,0.014135887,0.913144284,0.970137546,0.957768319,1.1662,0.159763314,0.24852071,0.943286093,0.068855449,0.413793103,0.17218543,0.350553903,0.262711864,0.513680309,0.021887825,1.0406,0.055631555,0.298013245,0.705241796,0.054263566,0.051983584,0.040127679,0.032375741,1.247843137,0.043956044,0.666666667,0.218543046,0.923206993,0.91569474,0.978952521,0.077063383,0.201587758653254,0,0,0,0,0,0,0.400624204649953,0.203064671441089,0,0.194723365255704
"2","Primate",0.228960573,2.056500511,0.72972973,-0.179658439,-9999,-9999,0.242553191,0.13836478,0.288888889,1.122619265,1.14530733,1.001879815,1.010941517,0.061106841,0.993943355,0.5,0.287179487,0.189868762,0.988021242,0.398373984,0.607663464,0.088050314,1.414589172,0.217021277,0.946654457,1.111742043,1.083188258,0.285714286,0.166666667,0.607663464,1.90925952,0.561327217,0.990638717,0.162280702,0.823003353,0.99155904,0.973389124,0.281914894,0.964375931,0.716486802,0.702562833,0.880458934,1.151204767,0.043812452,0.059574468,1.383696647,0.312820513,0.044965411,0.027286703,0.182389937,0.995877525,0.028439662,0.00115,0.867102016,0.88418777,0.39893617,0.226600985,0.07801691,0.898272237,0.992564285,0.039200615,0.072252114,0.321212121,0.289473684,0.187234043,0.069177556,0.791194084,0.980602462,0.041122214,0.018063028,0.657125328,1.021805563,1.051447444,1.163071969,0.093617021,0.2,1.000873124,0.074942352,0.26754386,0.111111111,0.597159096,0.228070175,0.661995164,0.016910069,1.044838045,0.033435819,0.143589744,0.685633608,0.063412759,0.04727133,0.039200615,0.022290546,1.288301149,0.125786164,0.541845858,0.105555556,0.914459992,0.954015356,0.901069674,0.090315142,0,0.391230668922147,0,0,0,0,0,0.417217767014503,0.19155156406335,0,0
"3","Vespbat",-1.082482997,1.346077231,0.208247423,0.376867701,1.802101452,-9999,0.218851571,0.132231405,0.211382114,0.962188603,1.194307924,-9999,1.11763589,0.036995516,1.358406464,0.607973422,0.065517241,-0.14354597,0.771279024,0.64075067,0.194602188,0.26446281,1.201242931,0.071505959,0.795826842,1.117783654,0.728955626,0.310136157,0.321138211,0.194602188,2.129755608,0.958497841,1.15308877,0.052401747,0.789913624,1.289965592,1.07276156,0.50967008,1.118319845,1.004410668,1.570611705,1.287085799,0.893044038,0.049021606,0.321776815,1.31438311,0.174137931,0.054830819,0.01997554,0.366391185,1.032081409,0.04942927,0.000815,0.995770056,0.860064394,0.152445961,0.490166415,0.06736649,1.343070726,0.717160784,0.049633102,0.089584183,0.305210918,0.544698545,0.267605634,0.075214024,0.956434324,1.206206719,0.055646148,0.011618426,0.56756669,1.365522443,1.028246116,1.264385325,0.07475623,0.045503792,0.944339595,0.059111292,0.292576419,0.079945799,0.480356016,0.318087318,0.509477385,0.030676722,0.703185187,0.053302079,0.131034483,0.562001195,0.041072157,0.038014676,0.030676722,0.022931105,0.99799937,0.074380165,0.648955515,0.261517615,0.766488883,0.91951416,0.546531071,0.094068488,0.3566614305049,0,0,0,0,0,0,0,0.178992482755997,0,0.464346086739103
"4","Rodent",1.104733864,1.721531049,0.428571429,0.138150338,-9999,-9999,0.162162162,0.37254902,0.324324324,1.094830901,1.082644628,-9999,1.028877376,0.048664122,1.279056705,0.595238095,0.293103448,-0.171568765,1.014243925,0.482142857,1.090050649,0.490196078,1.433509168,0.216216216,0.954533953,0.957343535,1.100947735,0.454545455,0.175675676,1.090050649,2.16700611,0.503794242,0.938610196,0,0.993558442,0.88733101,0.800202414,0.306451613,1.155817195,1.047546138,0.858643367,0.921170123,1.155673937,0.08110687,0.099099099,1.463383867,0.189655172,0.054389313,0.025763359,0.039215686,0.970514578,0.020038168,0.00191,0.998730563,1.103143304,0.435483871,0.227272727,0.062977099,0.903816794,1.007255902,0.041030534,0.059160305,0.473684211,0.435294118,0.216216216,0.070610687,0.737588652,0.921541608,0.050572519,0.017175573,1.099236641,0.967003155,1.05604981,1.292342988,0.135135135,0.171171171,1.106816327,0.055343511,0.534482759,0.162162162,0.148769716,0.164705882,0.233929793,0.021946565,1.242771409,0.071564885,0.224137931,0.546409415,0.036259542,0.053435115,0.040076336,0.026717557,1.255449137,0.019607843,0.371796009,0.175675676,1.143714397,0.96495974,0.619144603,0.105916031,0,0,0,0,0,0,0,0,0,1,0
"5","Rodent",1.938115877,1.670098608,0.608695652,1.266947603,-9999,-9999,0.213675214,0.283018868,0.287356322,1.049823288,1.038520034,-9999,1.014529422,0.050524309,1.261646793,0.341463415,0.271186441,1.072636802,0.961113281,0.54,1.146912736,0.547169811,1.369572074,0.196581197,0.92502635,1.034787789,1.047145568,0.393939394,0.206896552,1.146912736,2.177081263,0.547537586,0.968071289,0,1.09687045,1.014925704,0.886609713,0.366197183,1.218307535,1.03290279,0.734239665,0.971693735,1.076579441,0.072449952,0.085470085,1.429322325,0.169491525,0.055290753,0.023832221,0.037735849,0.991750889,0.021925643,0.00191,1.079043629,1.185558665,0.281690141,0.318181818,0.062917064,0.952973301,1.224181084,0.040038132,0.067683508,0.475,0.434210526,0.170940171,0.08293613,0.641506544,0.779108285,0.054337464,0.017159199,1.296043689,0.81017854,1.007385889,1.216623711,0.170940171,0.162393162,1.066289039,0.056244042,0.533333333,0.137931034,0.199914185,0.236842105,0.238645781,0.02478551,1.252824088,0.067683508,0.254237288,0.566781496,0.038131554,0.047664442,0.039084843,0.020972355,1.18874339,0.037735849,0.488977951,0.195402299,1.153566554,0.897029662,0.624310068,0.111534795,0,0,0,0,0,0,0,0,0,1,0
"6","Rodent",-9999,1.674176541,0.428571429,1.098612289,-9999,-9999,0.228070175,0.42,0.27173913,1.131626828,1.083546823,-9999,0.971218016,0.047664442,1.183015828,0.666666667,0.157894737,-9999,0.98937361,0.6,1.102533454,0.52,1.407899227,0.105263158,0.997943928,1.015956585,1.099836906,0.523809524,0.195652174,1.102533454,2.21452429,0.535157013,1.091005106,0,0.991305991,1.034661386,0.874994313,0.303030303,1.133331907,0.941352764,0.734805327,0.916058862,1.057817253,0.077216397,0.175438596,1.489120756,0.210526316,0.053384175,0.025738799,0.02,1.032459433,0.020019066,0.00191,1.034447952,1.138365098,0.333333333,0.333333333,0.060057197,1.013624179,1.137467923,0.042897998,0.062917064,0.441860465,0.49382716,0.245614035,0.087702574,0.83282223,0.891387649,0.053384175,0.017159199,1.19325378,0.894694284,1.059094181,1.291042564,0.070175439,0.175438596,1.117451911,0.054337464,0.510638298,0.119565217,0.116194063,0.271604938,0.186028727,0.02478551,1.138541549,0.070543375,0.228070175,0.677398661,0.04099142,0.047664442,0.037178265,0.020972355,1.25979786,0.04,0.455317097,0.195652174,1.044326783,0.889517738,0.5416822,0.108674929,0,0,0,0,0,0,0,0,0,1,0
"7","Rodent",-9999,1.664294517,0.454545455,1.115141591,-9999,-9999,0.170731707,0.423076923,0.321428571,1.068123553,1.024564247,-9999,1.065594963,0.049760766,1.195587826,0.41025641,0.196721311,-9999,1.005225357,0.510204082,1.12632721,0.442307692,1.378190886,0.235772358,0.923413792,0.980157417,1.058425093,0.417910448,0.202380952,1.12632721,2.073558648,0.546155695,0.968325444,0.044444444,1.081245679,0.934390903,0.832938615,0.360655738,1.17015358,1.022576868,0.711673795,0.802427714,1.139889031,0.075598086,0.195121951,1.401102041,0.196721311,0.055502392,0.029665072,0.038461538,1.009780293,0.021052632,0.00191,1.06072148,1.164436469,0.327868852,0.23880597,0.064114833,0.929797192,1.211942954,0.037320574,0.058373206,0.375,0.367088608,0.146341463,0.080382775,0.718163369,0.816084656,0.048803828,0.01722488,1.239729589,0.822594752,1.013549142,1.230630452,0.097560976,0.154471545,1.129169181,0.058373206,0.555555556,0.107142857,0.189829558,0.253164557,0.253267652,0.024880383,1.28285701,0.070813397,0.295081967,0.698734271,0.038277512,0.046889952,0.037320574,0.022966507,1.217978846,0.057692308,0.497074478,0.178571429,1.17015358,0.947970241,0.625358957,0.117703349,0,0,0,0,0,0,0,0,0,1,0
"8","Rodent",1.01898802,1.735082398,0.525773196,0.561377903,-9999,-9999,0.235148515,0.417582418,0.273684211,1.103959904,1.075535767,-9999,1.088152643,0.054182792,1.288266493,0.495652174,0.271186441,0.121990181,1.034669752,0.455813953,0.765797764,0.472527473,1.346023658,0.138613861,0.94593539,0.981404591,1.108478113,0.502994012,0.203508772,0.765797764,1.685442476,0.584043578,0.950289155,0.051094891,1.157184991,0.87499017,0.847811289,0.300469484,1.262712891,1.003456081,0.789994095,0.758449192,1.091471934,0.05328967,0.146039604,1.319691413,0.192090395,0.05954153,0.022923489,0.032967033,1.016229723,0.028877642,0.00119,1.127107125,1.149316132,0.38028169,0.299401198,0.049717178,0.986711992,1.286640005,0.050312593,0.06341173,0.429824561,0.351955307,0.170792079,0.084846681,0.732389839,0.86350378,0.048228639,0.010717475,1.048381492,0.870947264,1.033987028,1.164955347,0.138613861,0.170792079,0.924301873,0.052694254,0.386861314,0.150877193,0.166848135,0.324022346,0.233680147,0.027389104,1.221681933,0.071449836,0.254237288,0.699473938,0.033938672,0.064007145,0.03423638,0.027984519,1.258342105,0.038461538,0.529041778,0.185964912,1.129490889,0.862216911,0.767355924,0.120273891,0,0,0,0,0,0,0,0,0,1,0
"9","Artiodactyl",-9999,1.211556714,0.407894737,0.711386894,-9999,-9999,0.142259414,0.08045977,0.110497238,1.035260925,1.107238497,-9999,1.375287191,0.069907593,1.118359567,0.271604938,0.241935484,-0.192909563,0.874669959,0.189655172,0.711386894,0.051724138,1.032925439,0.184100418,0.874808143,0.948654133,0.800086369,0.241176471,0.270718232,0.711386894,1.883376632,0.944060845,1.052191727,0.15503876,1.031146847,1.012230482,0.889342164,0.36416185,1.009121905,0.743445218,1.746564226,0.677793966,1.004394913,0.042185617,0.079497908,1.232951636,0.376344086,0.042185617,0.028525512,0.310344828,1.142581697,0.030534351,0.00121,0.989966082,1.039880338,0.248554913,0.323529412,0.068300522,0.933094011,0.808092628,0.036560868,0.069505826,0.187192118,0.457142857,0.263598326,0.072719968,0.850765295,1.067237763,0.030936119,0.014061872,0.984456984,1.134131879,0.958832513,1.032510443,0.092050209,0.238493724,0.897627937,0.074728807,0.135658915,0.116022099,0.743141208,0.266666667,0.804745627,0.024507834,0.842058968,0.020490157,0.059139785,0.634227233,0.081558859,0.046605062,0.03254319,0.013258337,1.118002177,0.103448276,0.659168606,0.093922652,0.803787534,1.093419725,0.576988217,0.096022499,0.262193861377951,0.240359303719834,0,0.236658764833166,0,0,0,0.260788070069049,0,0,0
"10","Artiodactyl",-9999,1.357593163,0.191349934,-0.178736952,-9999,-9999,0.338472834,0.125514403,0.138519924,0.998899622,1.244272649,0.037249102,1.132828137,0.033047736,1.341216282,0.510556622,0.068728522,-1.493561713,0.830028793,0.572212066,0.199333897,0.28600823,1.238778069,0.043318649,0.855484493,1.063484552,0.805629053,0.305005821,0.341555977,0.199333897,1.947400055,0.923864047,1.321778888,0.050375134,0.884118761,1.232719869,1.02174394,0.552874379,1.084233854,0.99904333,1.65095378,1.229845162,0.897321913,0.052631579,0.236417034,1.301677712,0.139747995,0.060859513,0.016523868,0.33744856,1.149685658,0.051883585,0.000816,0.978956367,0.88113656,0.2079489,0.499417928,0.058411533,1.142123054,0.63950142,0.05501156,0.095811234,0.298597194,0.583979328,0.237885463,0.071671427,1.292737135,1.312322754,0.05249558,0.012579899,0.633894976,1.360924863,1.06274807,1.332761335,0.072687225,0.071218796,0.844759929,0.059363525,0.290460879,0.096774194,0.453983992,0.316537468,0.469860861,0.034815721,0.601649379,0.059295526,0.158075601,0.521658043,0.033931729,0.037195702,0.035427717,0.022167823,1.020505991,0.069958848,0.585196,0.325426945,0.697790971,0.938109675,0.508747316,0.092615259,0.442499388899728,0,0,0,0,0,0,0.214885281341595,0,0.342615329758677,0
